id,room_type,price_per_night,minimum_nights,rating,number_of_reviews,availability,neighbourhood_group,neighbourhood,latitude,longitude
888602080261477956,Entire home/apt,146,3,4.83,6,151,Queens,Astoria,40.7638313982016,-73.91839348180821
886759599511427720,Entire home/apt,403,31,0.0,0,295,Manhattan,Midtown,40.76223,-73.975681
887842453132907287,Private room,82,1,0.0,2,305,Brooklyn,East New York,40.67256844979117,-73.88151059433538
887842458410442741,Private room,95,1,0.0,1,316,Brooklyn,East New York,40.674638004409466,-73.88177927237679
888605000994601075,Entire home/apt,86,5,0.0,0,304,Queens,Kew Gardens,40.7060598,-73.8324411
887863438811113824,Entire home/apt,347,2,0.0,0,4,Manhattan,Upper West Side,40.78591138126305,-73.97629093528492
887888251157143883,Entire home/apt,299,1,0.0,1,84,Manhattan,Hell's Kitchen,40.75572,-73.99188
888668264357618033,Private room,140,3,0.0,0,230,Manhattan,Harlem,40.81445,-73.945
887895240352139976,Private room,41,3,0.0,1,333,Bronx,Williamsbridge,40.87853921385791,-73.85276542698364
888686334150939794,Entire home/apt,72,30,0.0,0,286,Staten Island,Concord,40.606648836063066,-74.08864307994416
